#timebase=-294967296(ps)
,#voltbase=2000000(mv/100)
#size=4164
1.46E-02,3.360
1.46E-02,3.360
1.46E-02,3.440
1.46E-02,3.280
1.46E-02,3.280
1.47E-02,3.280
1.47E-02,3.360
1.47E-02,3.280
1.47E-02,3.280
1.47E-02,3.360
1.48E-02,3.280
1.48E-02,3.280
1.48E-02,3.280
1.48E-02,3.360
1.48E-02,3.360
1.49E-02,3.360
1.49E-02,3.360
1.49E-02,3.280
1.49E-02,3.280
1.49E-02,3.360
1.50E-02,3.280
1.50E-02,3.360
1.50E-02,3.280
1.50E-02,3.280
1.50E-02,3.280
1.51E-02,3.360
1.51E-02,3.280
1.51E-02,3.280
1.51E-02,3.360
1.51E-02,3.360
1.52E-02,3.280
1.52E-02,3.440
1.52E-02,3.280
1.52E-02,3.280
1.52E-02,3.280
1.53E-02,3.360
1.53E-02,3.360
1.53E-02,3.280
1.53E-02,3.360
1.53E-02,3.280
1.54E-02,3.360
1.54E-02,3.280
1.54E-02,3.360
1.54E-02,3.360
1.54E-02,3.280
1.55E-02,3.360
1.55E-02,3.280
1.55E-02,3.360
1.55E-02,3.280
1.55E-02,3.360
1.56E-02,3.440
1.56E-02,3.280
1.56E-02,3.440
1.56E-02,3.360
1.56E-02,3.360
1.57E-02,3.280
1.57E-02,3.280
1.57E-02,3.360
1.57E-02,3.440
1.57E-02,3.280
1.58E-02,3.360
1.58E-02,3.360
1.58E-02,3.360
1.58E-02,3.360
1.58E-02,3.440
1.59E-02,3.280
1.59E-02,3.360
1.59E-02,3.440
1.59E-02,3.280
1.59E-02,3.360
1.60E-02,3.280
1.60E-02,3.280
1.60E-02,3.280
1.60E-02,3.440
1.60E-02,3.360
1.61E-02,3.440
1.61E-02,3.360
1.61E-02,3.280
1.61E-02,3.280
1.61E-02,3.360
1.62E-02,3.440
1.62E-02,3.280
1.62E-02,3.360
1.62E-02,3.280
1.62E-02,3.360
1.63E-02,3.440
1.63E-02,3.280
1.63E-02,3.360
1.63E-02,3.280
1.63E-02,3.440
1.64E-02,3.440
1.64E-02,3.280
1.64E-02,3.360
1.64E-02,3.360
1.64E-02,3.360
1.65E-02,3.280
1.65E-02,3.280
1.65E-02,3.280
1.65E-02,3.360
1.65E-02,3.360
1.66E-02,3.440
1.66E-02,3.280
1.66E-02,3.360
1.66E-02,3.360
1.66E-02,3.360
1.67E-02,3.280
1.67E-02,3.360
1.67E-02,3.280
1.67E-02,3.360
1.67E-02,3.280
1.68E-02,3.360
1.68E-02,3.280
1.68E-02,3.360
1.68E-02,3.280
1.68E-02,3.280
1.69E-02,3.280
1.69E-02,3.280
1.69E-02,3.360
1.69E-02,3.360
1.69E-02,3.280
1.70E-02,3.440
1.70E-02,3.280
1.70E-02,3.360
1.70E-02,3.280
1.70E-02,3.280
1.71E-02,3.280
1.71E-02,3.360
1.71E-02,3.280
1.71E-02,3.360
1.71E-02,3.360
1.72E-02,3.440
1.72E-02,3.360
1.72E-02,3.360
1.72E-02,3.280
1.72E-02,3.360
1.73E-02,3.280
1.73E-02,3.360
1.73E-02,3.440
1.73E-02,3.360
1.73E-02,3.280
1.74E-02,3.440
1.74E-02,3.360
1.74E-02,3.360
1.74E-02,3.280
1.74E-02,3.440
1.75E-02,3.280
1.75E-02,3.360
1.75E-02,3.360
1.75E-02,3.280
1.75E-02,3.280
1.76E-02,3.360
1.76E-02,3.280
1.76E-02,3.360
1.76E-02,3.360
1.76E-02,3.280
1.77E-02,3.280
1.77E-02,3.360
1.77E-02,3.280
1.77E-02,3.360
1.77E-02,3.280
1.78E-02,3.280
1.78E-02,3.280
1.78E-02,3.280
1.78E-02,3.440
1.78E-02,3.280
1.79E-02,3.280
1.79E-02,3.360
1.79E-02,3.280
1.79E-02,3.280
1.79E-02,3.280
1.80E-02,3.280
1.80E-02,3.280
1.80E-02,3.360
1.80E-02,3.360
1.80E-02,3.360
1.81E-02,3.360
1.81E-02,3.280
1.81E-02,3.280
1.81E-02,3.360
1.81E-02,3.360
1.82E-02,3.360
1.82E-02,3.280
1.82E-02,3.360
1.82E-02,3.360
1.82E-02,3.280
1.83E-02,3.280
1.83E-02,3.360
1.83E-02,3.360
1.83E-02,3.360
1.83E-02,3.280
1.84E-02,3.440
1.84E-02,3.360
1.84E-02,3.360
1.84E-02,3.280
1.84E-02,3.440
1.85E-02,3.440
1.85E-02,3.280
1.85E-02,3.360
1.85E-02,3.280
1.85E-02,3.280
1.86E-02,3.440
1.86E-02,3.280
1.86E-02,3.280
1.86E-02,3.360
1.86E-02,3.280
1.87E-02,3.440
1.87E-02,3.280
1.87E-02,3.280
1.87E-02,3.360
1.87E-02,3.360
1.88E-02,3.360
1.88E-02,3.280
1.88E-02,3.360
1.88E-02,3.360
1.88E-02,3.440
1.89E-02,3.280
1.89E-02,3.440
1.89E-02,3.360
1.89E-02,3.280
1.89E-02,3.360
1.90E-02,3.440
1.90E-02,3.280
1.90E-02,3.280
1.90E-02,3.440
1.90E-02,3.280
1.91E-02,3.440
1.91E-02,3.440
1.91E-02,3.360
1.91E-02,3.280
1.91E-02,3.280
1.92E-02,3.280
1.92E-02,3.280
1.92E-02,3.360
1.92E-02,3.360
1.92E-02,3.440
1.93E-02,3.280
1.93E-02,3.440
1.93E-02,3.360
1.93E-02,3.280
1.93E-02,3.360
1.94E-02,3.360
1.94E-02,3.360
1.94E-02,3.280
1.94E-02,3.280
1.94E-02,3.440
1.95E-02,3.360
1.95E-02,3.280
1.95E-02,3.440
1.95E-02,3.280
1.95E-02,3.280
1.96E-02,3.280
1.96E-02,3.360
1.96E-02,3.360
1.96E-02,3.280
1.96E-02,3.360
1.97E-02,3.360
1.97E-02,3.280
1.97E-02,3.360
1.97E-02,3.440
1.97E-02,3.360
1.98E-02,3.360
1.98E-02,3.280
1.98E-02,3.280
1.98E-02,3.360
1.98E-02,3.440
1.99E-02,3.280
1.99E-02,3.280
1.99E-02,3.360
1.99E-02,3.360
1.99E-02,3.280
2.00E-02,3.280
2.00E-02,3.280
2.00E-02,3.280
2.00E-02,3.280
2.00E-02,3.280
2.01E-02,3.360
2.01E-02,3.280
2.01E-02,3.280
2.01E-02,3.440
2.01E-02,3.280
2.02E-02,3.360
2.02E-02,3.360
2.02E-02,3.280
2.02E-02,3.280
2.02E-02,3.280
2.03E-02,3.360
2.03E-02,3.280
2.03E-02,3.360
2.03E-02,3.280
2.03E-02,3.440
2.04E-02,3.360
2.04E-02,3.280
2.04E-02,3.440
2.04E-02,3.280
2.04E-02,3.360
2.05E-02,3.280
2.05E-02,3.360
2.05E-02,3.280
2.05E-02,3.440
2.05E-02,3.360
2.06E-02,3.440
2.06E-02,3.280
2.06E-02,3.280
2.06E-02,3.360
2.06E-02,3.280
2.07E-02,3.360
2.07E-02,3.360
2.07E-02,3.280
2.07E-02,3.360
2.07E-02,3.360
2.08E-02,3.280
2.08E-02,3.360
2.08E-02,3.360
2.08E-02,3.360
2.08E-02,3.280
2.09E-02,3.360
2.09E-02,3.280
2.09E-02,3.360
2.09E-02,3.280
2.09E-02,3.280
2.10E-02,3.360
2.10E-02,3.280
2.10E-02,3.280
2.10E-02,3.440
2.10E-02,3.280
2.11E-02,3.280
2.11E-02,3.360
2.11E-02,3.360
2.11E-02,3.280
2.11E-02,3.280
2.12E-02,3.280
2.12E-02,3.280
2.12E-02,3.360
2.12E-02,3.280
2.12E-02,3.360
2.13E-02,3.280
2.13E-02,3.280
2.13E-02,3.360
2.13E-02,3.360
2.13E-02,3.360
2.14E-02,3.280
2.14E-02,3.360
2.14E-02,3.360
2.14E-02,3.280
2.14E-02,3.280
2.15E-02,3.440
2.15E-02,3.280
2.15E-02,3.280
2.15E-02,3.360
2.15E-02,3.360
2.16E-02,3.360
2.16E-02,3.440
2.16E-02,3.280
2.16E-02,3.360
2.16E-02,3.360
2.17E-02,3.360
2.17E-02,3.280
2.17E-02,3.360
2.17E-02,3.280
2.17E-02,3.360
2.18E-02,3.360
2.18E-02,3.280
2.18E-02,3.440
2.18E-02,3.360
2.18E-02,3.280
2.19E-02,3.440
2.19E-02,3.360
2.19E-02,3.360
2.19E-02,3.280
2.19E-02,3.360
2.20E-02,3.360
2.20E-02,3.280
2.20E-02,3.440
2.20E-02,3.280
2.20E-02,3.360
2.21E-02,3.440
2.21E-02,0.000
2.21E-02,0.000
2.21E-02,0.080
2.21E-02,0.000
2.22E-02,0.080
2.22E-02,0.080
2.22E-02,0.080
2.22E-02,0.080
2.22E-02,0.080
2.23E-02,0.080
2.23E-02,0.080
2.23E-02,0.080
2.23E-02,0.080
2.23E-02,0.000
2.24E-02,0.080
2.24E-02,0.080
2.24E-02,0.080
2.24E-02,0.000
2.24E-02,0.080
2.25E-02,0.080
2.25E-02,0.080
2.25E-02,0.080
2.25E-02,0.080
2.25E-02,0.080
2.26E-02,0.080
2.26E-02,0.080
2.26E-02,0.080
2.26E-02,0.080
2.26E-02,0.080
2.27E-02,0.160
2.27E-02,0.160
2.27E-02,0.000
2.27E-02,0.080
2.27E-02,0.080
2.28E-02,0.080
2.28E-02,0.000
2.28E-02,0.000
2.28E-02,0.080
2.28E-02,0.160
2.29E-02,0.000
2.29E-02,0.080
2.29E-02,0.080
2.29E-02,3.360
2.29E-02,3.200
2.30E-02,3.360
2.30E-02,0.000
2.30E-02,0.080
2.30E-02,0.080
2.30E-02,0.080
2.31E-02,0.000
2.31E-02,3.360
2.31E-02,3.280
2.31E-02,0.000
2.31E-02,0.080
2.32E-02,0.160
2.32E-02,3.280
2.32E-02,3.280
2.32E-02,3.360
2.32E-02,0.000
2.33E-02,0.000
2.33E-02,3.360
2.33E-02,3.280
2.33E-02,3.280
2.33E-02,0.080
2.34E-02,0.080
2.34E-02,3.360
2.34E-02,3.360
2.34E-02,3.280
2.34E-02,3.280
2.35E-02,3.360
2.35E-02,3.440
2.35E-02,3.280
2.35E-02,0.080
2.35E-02,0.080
2.36E-02,0.080
2.36E-02,0.080
2.36E-02,0.000
2.36E-02,0.080
2.36E-02,0.160
2.37E-02,0.160
2.37E-02,0.000
2.37E-02,0.000
2.37E-02,0.080
2.37E-02,0.000
2.38E-02,0.080
2.38E-02,0.160
2.38E-02,0.000
2.38E-02,0.080
2.38E-02,3.200
2.39E-02,3.280
2.39E-02,3.280
2.39E-02,3.280
2.39E-02,3.280
2.39E-02,0.080
2.40E-02,0.080
2.40E-02,3.440
2.40E-02,3.280
2.40E-02,3.280
2.40E-02,3.360
2.41E-02,0.080
2.41E-02,0.080
2.41E-02,0.080
2.41E-02,3.280
2.41E-02,3.440
2.42E-02,3.280
2.42E-02,3.360
2.42E-02,3.360
2.42E-02,3.280
2.42E-02,3.360
2.43E-02,3.280
2.43E-02,3.360
2.43E-02,3.280
2.43E-02,3.440
2.43E-02,3.360
2.44E-02,3.440
2.44E-02,0.080
2.44E-02,0.160
2.44E-02,0.080
2.44E-02,0.080
2.45E-02,0.080
2.45E-02,3.360
2.45E-02,3.280
2.45E-02,3.280
2.45E-02,3.280
2.46E-02,3.360
2.46E-02,3.280
2.46E-02,3.360
2.46E-02,3.280
2.46E-02,0.080
